Category_Value,Count
zip:06424,295360
zip:06426,100763
zip:06437,195970
zip:06438,28579
zip:06441,71988
zip:06442,134051
zip:06443,73975
zip:06447,533
zip:06450,1217136
zip:06451,217997
zip:06457,1373770
zip:06460,353814
zip:06461,36688
zip:06468,61257
zip:06469,23174
zip:06470,92209
zip:06472,552
zip:06473,80400
zip:06475,120831
zip:06477,10580
zip:06478,72230
zip:06479,72820
zip:06480,137553
zip:06481,33921
zip:06482,54978
zip:06483,86645
zip:06484,520340
zip:06488,49885
zip:06489,3044485
zip:06492,363510
zip:06498,4443
zip:06510,17656
zip:06511,3250627
zip:06512,409133
zip:06513,675869
zip:06514,1061595
zip:06515,374738
zip:06516,1151633
zip:06517,149302
zip:06518,257580
zip:06519,150348
zip:06524,39905
zip:06525,51469
zip:06602,839
zip:06604,825364
zip:06605,345993
zip:06606,1377815
zip:06607,42668
zip:06608,1517630
zip:06610,194490
zip:06611,415981
zip:06612,6195
zip:06614,469595
zip:06615,113455
zip:06704,402432
zip:06705,933090
zip:06706,193571
zip:06708,1019363
zip:06710,171934
zip:06712,39656
zip:06716,252260
zip:06759,96352
zip:06762,63224
zip:06770,746199
zip:06776,394188
zip:06779,6666
zip:06786,27046
zip:06787,41619
zip:06790,604070
zip:06795,114120
zip:06798,112130
zip:06801,195291
zip:06804,127362
zip:06810,790869
zip:06811,138725
zip:06812,154792
zip:06824,210834
zip:06825,83794
zip:06830,16241
zip:06840,242403
zip:06850,144742
zip:06851,251867
zip:06853,8211
zip:06854,53489
zip:06855,231069
zip:06870,31773
zip:06877,84792
zip:06878,8353
zip:06880,134530
zip:06883,78123
zip:06897,12412
zip:06901,87024
zip:06902,883014
zip:06903,129131
zip:06906,17222
zip:06907,1523
zip:07001,189886
zip:07002,587236
zip:07003,423837
zip:07004,17450
zip:07005,67930
zip:07006,113659
zip:07008,864852
zip:07009,5753
zip:07010,79623
zip:07011,483313
zip:07012,96505
zip:07013,278463
zip:07014,16892
zip:07016,59437
zip:07017,1464613
zip:07018,575922
zip:07019,3178
zip:07022,1199
zip:07024,95992
zip:07026,112136
zip:07028,2321
zip:07029,941010
zip:07030,127057
zip:07031,19131
zip:07032,253478
zip:07033,813
zip:07034,1008
zip:07035,17585
zip:07036,933885
zip:07039,189028
zip:07040,365223
zip:07042,115091
zip:07044,10736
zip:07045,22644
zip:07047,331265
zip:07050,102042
zip:07052,1030391
zip:07054,85141
zip:07055,590436
zip:07057,3891
zip:07058,16379
zip:07059,83840
zip:07060,963213
zip:07062,102078
zip:07063,17143
zip:07064,40048
zip:07065,485734
zip:07066,281891
zip:07067,175589
zip:07070,76401
zip:07071,186111
zip:07074,9688
zip:07076,74315
zip:07077,48483
zip:07078,75376
zip:07079,58766
zip:07080,27099
zip:07081,65407
zip:07082,57455
zip:07083,833980
zip:07086,3166
zip:07087,488096
zip:07090,171085
zip:07092,68473
zip:07093,102152
zip:07094,178243
zip:07095,399051
zip:07102,371209
zip:07103,1296135
zip:07104,5212979
zip:07105,3984328
zip:07106,877419
zip:07107,387489
zip:07108,571385
zip:07109,194080
zip:07110,139803
zip:07111,1434016
zip:07112,862793
zip:07114,10979
zip:07192,6395
zip:07201,133656
zip:07202,504812
zip:07203,235879
zip:07204,29297
zip:07205,33098
zip:07206,238831
zip:07208,251231
zip:07302,844052
zip:07304,909922
zip:07305,1456891
zip:07306,679995
zip:07307,271990
zip:07310,15058
zip:07395,3086
zip:07403,28489
zip:07405,157439
zip:07407,4348
zip:07410,163718
zip:07416,3491
zip:07418,13807
zip:07419,192106
zip:07420,55558
zip:07421,6877
zip:07422,28377
zip:07423,16924
zip:07424,60629
zip:07430,68793
zip:07436,36993
zip:07438,73039
zip:07440,21946
zip:07442,83665
zip:07444,36050
zip:07446,15480
zip:07450,87267
zip:07458,18733
zip:07461,231704
zip:07462,99002
zip:07465,1214
zip:07470,286509
zip:07480,77674
zip:07481,2987
zip:07501,808788
zip:07502,205274
zip:07503,512543
zip:07504,122198
zip:07506,158896
zip:07508,169373
zip:07512,23896
zip:07513,31043
zip:07514,270768
zip:07522,430121
zip:07524,37252
zip:07601,562275
zip:07603,914
zip:07604,53948
zip:07607,19524
zip:07621,47114
zip:07624,42013
zip:07626,19387
zip:07628,7577
zip:07630,2477
zip:07631,59360
zip:07642,3820
zip:07643,22799
zip:07644,201699
zip:07645,21267
zip:07646,24746
zip:07650,47805
zip:07652,86579
zip:07656,10181
zip:07657,1307
zip:07660,33981
zip:07661,29001
zip:07663,31516
zip:07666,206416
zip:07670,4420
zip:07675,135208
zip:07701,63580
zip:07712,727088
zip:07716,56942
zip:07718,5468
zip:07719,18184
zip:07720,40290
zip:07722,2679
zip:07724,345667
zip:07726,267617
zip:07727,26505
zip:07728,185751
zip:07730,20350
zip:07731,148982
zip:07733,13750
zip:07734,56644
zip:07735,14520
zip:07737,1946
zip:07738,15319
zip:07740,330864
zip:07746,68629
zip:07747,349582
zip:07748,247798
zip:07751,58700
zip:07753,328011
zip:07755,47255
zip:07757,15016
zip:07764,174836
zip:07801,191813
zip:07821,11686
zip:07823,3873
zip:07825,53330
zip:07826,1468
zip:07827,35253
zip:07828,49982
zip:07834,81937
zip:07836,161165
zip:07840,404330
zip:07843,70694
zip:07848,5937
zip:07849,26579
zip:07850,6581
zip:07852,120938
zip:07853,118992
zip:07856,19120
zip:07857,29117
zip:07860,385484
zip:07866,54722
zip:07869,280969
zip:07871,267245
zip:07874,1761
zip:07876,28836
zip:07882,95630
zip:07885,23270
zip:07901,14906
zip:07920,118203
zip:07921,4963
zip:07928,22508
zip:07930,745
zip:07932,62881
zip:07936,74573
zip:07940,12159
zip:07945,45417
zip:07950,11808
zip:07960,223903
zip:07974,11925
zip:07981,3938
zip:08002,517258
zip:08003,102020
zip:08004,144153
zip:08005,293656
zip:08007,58330
zip:08008,29867
zip:08009,134009
zip:08010,28178
zip:08012,456836
zip:08014,1431
zip:08015,601400
zip:08016,587023
zip:08019,9640
zip:08020,9688
zip:08021,668202
zip:08022,119055
zip:08028,503953
zip:08029,38777
zip:08030,453457
zip:08031,120028
zip:08032,8205
zip:08033,274279
zip:08034,54107
zip:08035,170802
zip:08036,5758
zip:08037,144370
zip:08043,460635
zip:08046,826100
zip:08048,148621
zip:08049,48531
zip:08050,459128
zip:08051,225919
zip:08052,83716
zip:08053,430396
zip:08054,782935
zip:08055,153030
zip:08056,3374
zip:08057,221473
zip:08059,68723
zip:08060,515257
zip:08061,70783
zip:08062,382177
zip:08063,15749
zip:08065,9133
zip:08066,140260
zip:08069,111493
zip:08070,574765
zip:08071,2389
zip:08075,170134
zip:08077,192158
zip:08078,340561
zip:08079,223005
zip:08080,636857
zip:08081,977660
zip:08083,197442
zip:08084,16492
zip:08085,308647
zip:08086,216912
zip:08087,131656
zip:08088,67635
zip:08090,397796
zip:08092,4900
zip:08093,30863
zip:08094,417288
zip:08096,495590
zip:08098,1557
zip:08102,25133
zip:08103,102415
zip:08104,1110097
zip:08105,714598
zip:08106,16510
zip:08107,106488
zip:08108,430302
zip:08109,516665
zip:08110,247889
zip:08201,65167
zip:08204,212662
zip:08205,563530
zip:08210,199220
zip:08221,60475
zip:08224,1099
zip:08225,276691
zip:08226,73649
zip:08232,338464
zip:08234,535251
zip:08242,816
zip:08244,80951
zip:08251,45632
zip:08260,96014
zip:08270,46697
zip:08302,1068074
zip:08312,2072
zip:08318,62394
zip:08322,101127
zip:08330,569796
zip:08332,1269502
zip:08341,13552
zip:08343,2502
zip:08360,1171984
zip:08361,60064
zip:08401,874314
zip:08402,109176
zip:08406,35516
zip:08505,182409
zip:08512,13070
zip:08515,32811
zip:08518,66843
zip:08520,94081
zip:08525,144613
zip:08527,69919
zip:08530,9264
zip:08533,40479
zip:08534,133994
zip:08536,23978
zip:08540,152005
zip:08550,8001
zip:08554,58838
zip:08558,25628
zip:08562,23201
zip:08609,50482
zip:08610,572476
zip:08611,400422
zip:08618,935485
zip:08619,292476
zip:08620,46739
zip:08628,58302
zip:08629,54427
zip:08638,215228
zip:08641,5337
zip:08644,29924
zip:08648,482754
zip:08690,180916
zip:08691,128927
zip:08701,601549
zip:08721,358542
zip:08722,3732
zip:08723,222095
zip:08724,500634
zip:08731,448438
zip:08734,80131
zip:08735,13494
zip:08736,15488
zip:08742,11078
zip:08751,75597
zip:08752,2659
zip:08753,544710
zip:08755,125728
zip:08757,391485
zip:08759,183312
zip:08802,2560
zip:08804,27151
zip:08805,42143
zip:08807,465118
zip:08809,199143
zip:08812,243354
zip:08816,711324
zip:08817,646278
zip:08820,273447
zip:08822,245914
zip:08824,166097
zip:08825,12155
zip:08826,4842
zip:08827,33361
zip:08829,22584
zip:08830,182402
zip:08831,334754
zip:08832,18391
zip:08833,204941
zip:08835,51021
zip:08837,181956
zip:08840,128658
zip:08844,558028
zip:08846,50788
zip:08848,131375
zip:08852,83122
zip:08853,10631
zip:08854,527529
zip:08857,391194
zip:08859,61008
zip:08861,497756
zip:08863,121075
zip:08865,1203106
zip:08869,32060
zip:08872,28304
zip:08873,587622
zip:08875,91402
zip:08879,89248
zip:08880,5019
zip:08882,46508
zip:08884,56662
zip:08887,4256
zip:08889,23198
zip:08899,95496
zip:08901,117372
zip:08902,537565
zip:08904,76403
zip:10001,365797
zip:10002,559441
zip:10003,238361
zip:10004,88779
zip:10005,134143
zip:10007,4450
zip:10009,362828
zip:10010,117980
zip:10011,392865
zip:10012,3784
zip:10013,823874
zip:10014,19961
zip:10016,224488
zip:10017,23406
zip:10018,34389
zip:10019,301258
zip:10021,115791
zip:10022,122363
zip:10023,270489
zip:10024,123541
zip:10025,679560
zip:10026,642453
zip:10027,695724
zip:10028,179789
zip:10029,1107299
zip:10030,690783
zip:10031,912558
zip:10032,348435
zip:10033,417717
zip:10034,217750
zip:10035,84094
zip:10036,115684
zip:10037,68522
zip:10038,171131
zip:10039,294361
zip:10040,297164
zip:10044,205507
zip:10065,37649
zip:10069,5654
zip:10112,307
zip:10116,1343
zip:10118,4951722
zip:10128,970392
zip:102-0082,897
zip:10280,30344
zip:10282,1723
zip:10301,574743
zip:10302,14483
zip:10303,80975
zip:10304,543156
zip:10305,392595
zip:10306,136907
zip:10308,19401
zip:10309,47905
zip:10310,387950
zip:10311,213951
zip:10312,243512
zip:10314,492528
zip:10451,1574600
zip:10452,1462770
zip:10453,1253129
zip:10454,639823
zip:10455,475438
zip:10456,1735882
zip:10457,432670
zip:10458,1245516
zip:10459,857291
zip:10460,131744
zip:10461,336002
zip:10462,1452898
zip:10463,655639
zip:10465,255545
zip:10466,826879
zip:10467,1557397
zip:10468,863208
zip:10469,823431
zip:10470,7675
zip:10471,19350
zip:10472,529989
zip:10473,1244795
zip:10475,954755
zip:10504,3189
zip:10505,2523
zip:10506,4512
zip:10509,189224
zip:10510,32265
zip:10512,100433
zip:10514,23994
zip:10516,32629
zip:10520,9216
zip:10522,36998
zip:10523,8941
zip:10524,13930
zip:10526,10768
zip:10528,9822
zip:10533,37336
zip:10536,59873
zip:10538,44981
zip:10541,28106
zip:10543,84580
zip:10547,10680
zip:10548,15892
zip:10549,5797
zip:10550,767592
zip:10552,177298
zip:10562,217151
zip:10566,355584
zip:10567,105675
zip:10570,35941
zip:10573,66118
zip:10579,17574
zip:10580,5185
zip:10583,47156
zip:10589,19794
zip:10591,25639
zip:10594,1552
zip:10598,179431
zip:10601,93412
zip:10603,22531
zip:10605,332143
zip:10606,23894
zip:10701,1496353
zip:10703,18397
zip:10704,35482
zip:10705,261183
zip:10706,17082
zip:10708,8557
zip:10709,2655
zip:10710,335682
zip:10801,415111
zip:10803,1976
zip:10804,10832
zip:10805,15248
zip:10901,16729
zip:10913,50528
zip:10918,37729
zip:10920,67197
zip:10923,25606
zip:10924,184481
zip:10927,27531
zip:10928,14379
zip:10930,8309
zip:10940,841258
zip:10941,48815
zip:10950,378196
zip:10952,151343
zip:10954,270157
zip:10956,77740
zip:10960,2759
zip:10962,2712
zip:10965,67271
zip:10970,128382
zip:10977,161262
zip:10980,51120
zip:10983,20072
zip:10987,32060
zip:10989,9425
zip:10990,264707
zip:10992,32279
zip:10994,7467
zip:10998,15655
zip:11001,48300
zip:11003,196354
zip:11004,10115
zip:11010,13613
zip:110111,887
zip:11021,5777
zip:11030,48793
zip:11040,34759
zip:11050,55402
zip:11096,1892
zip:11101,563664
zip:11102,309306
zip:11103,194022
zip:11105,129057
zip:11106,171201
zip:111611,2310
zip:11201,813139
zip:11203,412560
zip:11204,147067
zip:11205,152125
zip:11206,572822
zip:11207,2272249
zip:11208,1184935
zip:11209,91293
zip:11210,216174
zip:11211,881012
zip:11212,2087852
zip:11213,1725302
zip:11214,281418
zip:11215,292029
zip:11216,846180
zip:11217,11874
zip:11218,159092
zip:11219,90017
zip:11220,107619
zip:11221,1638840
zip:11222,5151825
zip:11223,163300
zip:11224,482878
zip:11225,1172524
zip:11226,6436241
zip:11228,31583
zip:11229,257140
zip:11230,427929
zip:11231,38886
zip:11232,53787
zip:11233,753965
zip:11234,1016621
zip:11235,639149
zip:11236,1658440
zip:11237,264016
zip:11238,731265
zip:11239,134618
zip:11249,93621
zip:11354,52312
zip:11355,81885
zip:11356,5583
zip:11357,48576
zip:11358,8886
zip:11360,19016
zip:11361,112508
zip:11362,2189
zip:11364,35278
zip:11365,79584
zip:11366,62110
zip:11367,189617
zip:11368,238963
zip:11369,2571
zip:11370,13007
zip:11372,36222
zip:11373,244038
zip:11375,130689
zip:11377,450252
zip:11378,41095
zip:11379,19599
zip:11385,575850
zip:11411,39382
zip:11412,90213
zip:11413,572448
zip:11414,100595
zip:11415,2271
zip:11417,145295
zip:11418,100847
zip:11419,280969
zip:11420,444011
zip:11421,153232
zip:11422,276421
zip:11423,101015
zip:11426,8048
zip:11427,221073
zip:11428,201369
zip:11429,177439
zip:11432,485117
zip:11433,212936
zip:11434,1320657
zip:11435,3197511
zip:11436,75336
zip:11439,3860
zip:11501,74741
zip:11507,2370
zip:11510,261777
zip:11516,4855
zip:11520,290986
zip:11530,163116
zip:11542,65025
zip:11545,13837
zip:11550,891782
zip:11552,99949
zip:11553,159729
zip:11554,43039
zip:11558,2342
zip:11561,67552
zip:11563,12216
zip:11565,27610
zip:11566,162373
zip:11570,148230
zip:11572,172669
zip:11575,60171
zip:11576,14170
zip:11580,160617
zip:11581,115318
zip:11590,343957
zip:11598,5655
zip:11691,944223
zip:11692,55046
zip:11693,57692
zip:11694,373389
zip:11701,119288
zip:11702,66486
zip:11703,65838
zip:11704,474864
zip:11705,6653
zip:11706,930359
zip:11710,185893
zip:11713,58115
zip:11714,38217
zip:11715,13537
zip:11716,16499
zip:11717,373387
zip:11719,30073
zip:11720,168309
zip:11722,454995
zip:11725,42008
zip:11726,76059
zip:11727,195690
zip:11729,500450
zip:11730,32274
zip:11731,124050
zip:11733,11523
zip:11735,35947
zip:11738,42353
zip:11741,95967
zip:11742,92948
zip:11743,82594
zip:11746,164364
zip:11747,18047
zip:11749,1671
zip:11751,46742
zip:11752,13774
zip:11753,22455
zip:11754,10671
zip:11755,14081
zip:11756,208472
zip:11757,260317
zip:11758,166567
zip:11762,29328
zip:11763,300554
zip:11764,23810
zip:11766,33032
zip:11768,22552
zip:11769,8042
zip:11771,60301
zip:11772,509150
zip:11776,141040
zip:11777,56738
zip:11778,60049
zip:11779,374542
zip:11780,132761
zip:11782,202059
zip:11783,33309
zip:11784,163200
zip:11786,7455
zip:11787,215185
zip:11788,10408
zip:11789,71754
zip:11790,69499
zip:11791,71012
zip:11793,40877
zip:11795,97488
zip:11797,19288
zip:11798,44194
zip:11801,90162
zip:11803,13150
zip:11901,133144
zip:11931,155765
zip:11933,26501
zip:11934,82641
zip:11935,9705
zip:11937,89293
zip:11940,22409
zip:11941,15163
zip:11944,2370
zip:11946,60219
zip:11949,84043
zip:11950,279287
zip:11951,43003
zip:11952,283
zip:11953,89909
zip:11955,13648
zip:11960,4738
zip:11961,25781
zip:11963,154927
zip:11964,4237
zip:11967,421067
zip:11968,34820
zip:11971,16326
zip:11977,12469
zip:11978,8869
zip:11980,16185
zip:12009,46421
zip:12010,691360
zip:12015,2741
zip:12018,6095
zip:12019,3856
zip:12020,233430
zip:12025,52067
zip:12029,16606
zip:12033,88759
zip:12037,166687
zip:12043,64093
zip:12047,49769
zip:12051,196793
zip:12053,3388
zip:12054,167883
zip:12056,3497
zip:12057,1462
zip:12058,26090
zip:12060,84221
zip:12061,64176
zip:12065,751593
zip:12072,1768
zip:12075,3634
zip:12078,579368
zip:12083,33356
zip:12087,2423
zip:12090,84813
zip:12093,34511
zip:12095,58676
zip:12110,259329
zip:12115,11564
zip:12118,73955
zip:12120,752
zip:12122,46631
zip:12123,31549
zip:12134,14542
zip:12143,317634
zip:12144,267946
zip:12155,11292
zip:12159,2270
zip:12166,1979
zip:12169,3904
zip:12180,1451063
zip:12182,87885
zip:12184,21025
zip:12186,24245
zip:12188,6239
zip:12189,11652
zip:12190,38082
zip:12192,50460
zip:12193,37250
zip:12198,33273
zip:12202,165954
zip:12203,108523
zip:12204,107542
zip:12205,392281
zip:12206,1279001
zip:12207,44859
zip:12208,438152
zip:12209,123051
zip:12210,230608
zip:12211,134935
zip:12302,119620
zip:12303,289064
zip:12304,240832
zip:12306,530319
zip:12307,11245
zip:12308,286988
zip:12309,459812
zip:12401,411343
zip:12404,24927
zip:12405,2559
zip:12413,20588
zip:12414,312450
zip:12423,2308
zip:12428,54975
zip:12431,73269
zip:12440,6427
zip:12442,5148
zip:12446,9449
zip:12451,6590
zip:12455,40570
zip:12461,4911
zip:12466,5328
zip:12469,3445
zip:12470,41903
zip:12473,9416
zip:12474,5097
zip:12477,275082
zip:12484,14958
zip:12487,3215
zip:12496,874
zip:12498,45495
zip:12501,54205
zip:12504,7394
zip:12508,190202
zip:12518,86146
zip:12522,102837
zip:12524,151339
zip:12526,96157
zip:12528,218066
zip:12533,79280
zip:12534,260370
zip:12538,170309
zip:12540,4460
zip:12542,11813
zip:12545,108527
zip:12549,42524
zip:12550,781630
zip:12553,243655
zip:12561,149646
zip:12563,5389
zip:12564,37465
zip:12566,32770
zip:12569,59291
zip:12570,30321
zip:12571,42804
zip:12572,79719
zip:12581,38570
zip:12586,107229
zip:12589,87036
zip:12590,299888
zip:12592,1321
zip:12601,642029
zip:12603,573857
zip:12604,896
zip:12701,219131
zip:12721,27441
zip:12723,963
zip:12726,37929
zip:12732,35531
zip:12754,326433
zip:12758,6775
zip:12764,77235
zip:12771,472865
zip:12775,44891
zip:12776,6893
zip:12790,34066
zip:12801,276990
zip:12803,20121
zip:12804,794362
zip:12810,18062
zip:12814,19045
zip:12817,34007
zip:12819,8608
zip:12822,58849
zip:12827,25335
zip:12828,21698
zip:12831,36365
zip:12832,341457
zip:12834,103335
zip:12839,1828
zip:12842,77247
zip:12843,894
zip:12845,3714
zip:12847,4955
zip:12850,2582
zip:12851,13284
zip:12852,6426
zip:12853,26328
zip:12861,13825
zip:12865,8030
zip:12866,471116
zip:12870,118155
zip:12871,19040
zip:12878,56150
zip:12883,13048
zip:12885,89759
zip:12901,1152338
zip:12910,4000
zip:12912,22459
zip:12919,204339
zip:12920,83156
zip:12921,97708
zip:12922,5999
zip:12926,8544
zip:12928,25516
zip:12930,3035
zip:12935,11164
zip:12943,3263
zip:12946,2999
zip:12953,493847
zip:12956,16985
zip:12957,288
zip:12958,36979
zip:12959,1721
zip:12960,61677
zip:12967,7240
zip:12969,15815
zip:12974,9315
zip:12979,45991
zip:12981,17667
zip:12983,279606
zip:12986,95970
zip:12989,47204
zip:12992,90121
zip:12996,12145
zip:12998,28640
zip:13021,595773
zip:13026,5855
zip:13027,236182
zip:13029,49473
zip:13031,39829
zip:13032,454179
zip:13033,42162
zip:13034,8828
zip:13035,15276
zip:13036,101432
zip:13037,31677
zip:13039,291180
zip:13040,86211
zip:13041,82249
zip:13044,32660
zip:13045,351614
zip:13053,5988
zip:13054,4666
zip:13057,275740
zip:13060,47497
zip:13066,90857
zip:13068,49313
zip:13069,704289
zip:13076,46530
zip:13078,21850
zip:13080,136806
zip:13083,32567
zip:13084,175056
zip:13088,2879401
zip:13090,445413
zip:13092,29181
zip:13101,2124
zip:13104,410844
zip:13108,4502
zip:13114,47868
zip:13118,61711
zip:13122,5403
zip:13126,144537
zip:13131,33572
zip:13132,4879
zip:13135,58980
zip:13140,76738
zip:13142,331712
zip:13143,620
zip:13144,16140
zip:13146,1065
zip:13148,110088
zip:13152,2372
zip:13159,17808
zip:13160,77864
zip:13166,101935
zip:13167,47647
zip:13202,44014
zip:13203,230195
zip:13204,539081
zip:13205,874271
zip:13206,156913
zip:13207,435171
zip:13208,769177
zip:13209,32349
zip:13210,758406
zip:13211,206561
zip:13212,261056
zip:13214,34979
zip:13215,568067
zip:13219,78865
zip:13224,133606
zip:13261,3622
zip:13308,25331
zip:13309,176190
zip:13316,302573
zip:13317,60594
zip:13318,16791
zip:13323,48732
zip:13326,61710
zip:13327,15372
zip:13335,4229
zip:13339,140152
zip:13340,15090
zip:13343,21665
zip:13346,10710
zip:13350,450317
zip:13354,95814
zip:13357,368001
zip:13365,267676
zip:13367,28495
zip:13407,34090
zip:13411,35897
zip:13413,188837
zip:13417,24222
zip:13421,246677
zip:13425,54041
zip:13428,3641
zip:13431,38533
zip:13438,11925
zip:13439,60474
zip:13440,753616
zip:13452,262903
zip:13456,20855
zip:13459,6214
zip:13460,14803
zip:13461,10227
zip:13464,152841
zip:13473,64949
zip:13476,13676
zip:13478,66507
zip:13480,85873
zip:13491,4013
zip:13492,61881
zip:13493,27499
zip:13501,1016801
zip:13502,804375
zip:13601,893769
zip:13602,24755
zip:13603,83454
zip:13613,175180
zip:13615,8102
zip:13617,91426
zip:13619,199585
zip:13622,89280
zip:13624,82752
zip:13630,28001
zip:13634,95403
zip:13642,104315
zip:13646,44436
zip:13652,84984
zip:13655,13637
zip:13658,164445
zip:13660,46460
zip:13662,756212
zip:13665,63552
zip:13668,158020
zip:13669,390538
zip:13670,24273
zip:13676,558116
zip:13685,66647
zip:13690,48245
zip:13691,30119
zip:13697,54907
zip:13730,2144
zip:13733,56833
zip:13734,77304
zip:13736,95239
zip:13739,763
zip:13743,15452
zip:13746,9239
zip:13752,2075
zip:13753,80464
zip:13754,52311
zip:13757,23561
zip:13760,1206578
zip:13761,45074
zip:13778,98386
zip:13782,462
zip:13783,57316
zip:13787,64364
zip:13790,201820
zip:13796,17750
zip:13803,5444
zip:13804,24263
zip:13806,9399
zip:13808,14623
zip:13810,20756
zip:13811,3885
zip:13813,17606
zip:13815,319049
zip:13820,383387
zip:13825,5964
zip:13827,4192
zip:13830,15072
zip:13832,24057
zip:13833,55352
zip:13838,261419
zip:13839,2477
zip:13849,9978
zip:13850,325831
zip:13856,63401
zip:13862,39965
zip:13864,5133
zip:13865,369943
zip:13901,619010
zip:13903,455012
zip:13904,197294
zip:13905,743492
zip:14001,32532
zip:14004,127672
zip:14006,104545
zip:14009,121718
zip:14020,798752
zip:14021,30543
zip:14030,11313
zip:14031,4840
zip:14034,4482
zip:14041,22359
zip:14042,91753
zip:14043,287978
zip:14048,441999
zip:14051,217454
zip:14052,70959
zip:14054,17589
zip:14055,9713
zip:14057,36663
zip:14062,35898
zip:14063,300251
zip:14067,6691
zip:14070,85225
zip:14072,114094
zip:14075,265668
zip:14081,26418
zip:14085,151745
zip:14086,400106
zip:14092,37481
zip:14094,429487
zip:14098,586
zip:14102,3322
zip:14103,468746
zip:14105,197737
zip:14111,10698
zip:14120,733332
zip:14125,8169
zip:14127,93324
zip:14138,11545
zip:14139,9047
zip:14141,15822
zip:14143,2796
zip:14150,551893
zip:14171,20609
zip:14174,114091
zip:14201,29127
zip:14203,11274
zip:14204,21497
zip:14205,53653
zip:14206,543396
zip:14207,461435
zip:14208,419310
zip:14209,216938
zip:14210,94777
zip:14211,309047
zip:14212,33551
zip:14213,761691
zip:14214,232843
zip:14215,1216208
zip:14216,731832
zip:14217,258877
zip:14218,497199
zip:14219,30047
zip:14220,392178
zip:14221,853824
zip:14222,323979
zip:14223,133209
zip:14224,543994
zip:14225,3968783
zip:14226,973195
zip:14227,370415
zip:14228,76284
zip:14261,102667
zip:14301,70257
zip:14304,966812
zip:14305,664229
zip:14400,1860
zip:14411,234449
zip:14414,25649
zip:14420,363572
zip:14424,470592
zip:14425,6361
zip:14427,212915
zip:14428,79204
zip:14432,20968
zip:14433,81484
zip:14435,39806
zip:14437,55811
zip:14445,72637
zip:14450,500394
zip:14454,65589
zip:14456,477270
zip:14467,127278
zip:14468,30558
zip:14470,217659
zip:14472,220093
zip:14482,39369
zip:14485,4178
zip:14486,3480
zip:14487,17231
zip:14489,140668
zip:14502,279516
zip:14510,4887
zip:14512,2306
zip:14513,508907
zip:14514,10391
zip:14519,307994
zip:14521,74059
zip:14522,1988
zip:14525,2356
zip:14526,141051
zip:14527,138219
zip:14530,188353
zip:14532,4568
zip:14533,18789
zip:14534,176161
zip:14541,29173
zip:14543,2712
zip:14546,6757
zip:14548,90839
zip:14550,38303
zip:14551,82594
zip:14555,8993
zip:14559,154974
zip:14560,20564
zip:14564,201577
zip:14568,16626
zip:14569,182706
zip:14572,2468
zip:14580,409265
zip:14586,90711
zip:14589,138498
zip:14590,2957
zip:14591,4926
zip:14604,8267
zip:14605,23596
zip:14606,511980
zip:14607,348318
zip:14608,486709
zip:14609,1827411
zip:14610,326815
zip:14611,686531
zip:14612,483538
zip:14613,50838
zip:14614,26562
zip:14615,152344
zip:14616,440487
zip:14617,688342
zip:14618,300714
zip:14619,474582
zip:14620,153454
zip:14621,1817994
zip:14622,19363
zip:14623,553930
zip:14624,435058
zip:14625,11872
zip:14626,591776
zip:14701,903848
zip:14702,841
zip:14711,3152
zip:14715,55470
zip:14719,6177
zip:14727,21129
zip:14735,46954
zip:14737,29182
zip:14738,16347
zip:14739,50391
zip:14755,27062
zip:14757,44473
zip:14760,574571
zip:14775,6761
zip:14777,15958
zip:14779,171183
zip:14781,42425
zip:14782,105038
zip:14787,103849
zip:14801,183261
zip:14803,5725
zip:14810,676214
zip:14812,827
zip:14813,8170
zip:14815,12479
zip:14817,14126
zip:14819,81239
zip:14822,37244
zip:14830,568530
zip:14831,212650
zip:14836,58386
zip:14837,14548
zip:14839,38161
zip:14840,15579
zip:14843,547614
zip:14845,516248
zip:14847,12928
zip:14850,407086
zip:14861,24225
zip:14865,9763
zip:14869,43343
zip:14870,15552
zip:14873,77340
zip:14883,17423
zip:14886,21258
zip:14889,19532
zip:14891,27400
zip:14892,22813
zip:14895,281118
zip:14897,19566
zip:14901,394882
zip:14903,4528
zip:14904,640343
zip:14905,223461
zip:15001,1715730
zip:15003,295455
zip:15005,33040
zip:15009,133592
zip:15010,1001540
zip:15012,519887
zip:15017,83281
zip:15021,76806
zip:15022,304880
zip:15024,30122
zip:15025,187440
zip:15026,4331
zip:15027,23250
zip:15037,46110
zip:15042,80522
zip:15044,295586
zip:15045,65099
zip:15055,29010
zip:15057,83952
zip:15061,94301
zip:15062,119096
zip:15063,125587
zip:15065,27346
zip:15066,260063
zip:15067,2736
zip:15068,687301
zip:15071,52297
zip:15074,202764
zip:15083,2422
zip:15084,34515
zip:15085,534
zip:15089,2615
zip:15090,257361
zip:15101,99459
zip:15102,281558
zip:15104,247433
zip:15106,283812
zip:15108,469509
zip:15110,118884
zip:15112,44645
zip:15116,129181
zip:15120,603988
zip:15122,723233
zip:15126,53101
zip:15129,36476
zip:15131,74301
zip:15132,2264372
zip:15133,281471
zip:15136,1741109
zip:15137,565926
zip:15139,19370
zip:15143,155460
zip:15144,42284
zip:15145,118080
zip:15146,941587
zip:15147,197451
zip:15201,96227
zip:15202,262804
zip:15203,263668
zip:15204,80461
zip:15205,406945
zip:15206,571802
zip:15207,390124
