field_combination,summary_value,request_count,fill_rate
genre:Crime;Mystery;Newsmagazine,97196,9897024,0.009820729948719938
genre:Crime;Newsmagazine,20593,1912200,0.010769270996757662
genre:Crime;Science,1900,90512,0.0209916917093866
genre:Crime;Science fiction;Action;Sci-Fi,884,54407,0.01624790927637988
genre:Crime;Special,45619,2248930,0.020284757640300053
genre:Crime;Special;Docudrama,325,17656,0.01840734028092433
genre:Cycling,122,2574,0.0473970473970474
genre:Dance,238,18126,0.013130310051859207
genre:Dark comedy,2013,109594,0.018367793857327955
genre:Darts,13,5832,0.0022290809327846365
genre:Docudrama,114432,7070560,0.0161842909189654
genre:Docudrama;Crime drama,32529,1293788,0.02514244992224383
genre:Docudrama;History;Western;American history,3545,323699,0.010951532133247245
genre:Docudrama;Holiday,55,6132,0.008969341161121983
genre:Docudrama;Miniseries,1014,40458,0.025063028325671068
genre:Docudrama;Romance,551,24808,0.022210577233150598
genre:Documentary,809124,44377485,0.018232759247172298
genre:Documentary;Action sports,105,19874,0.0052832846935694875
genre:Documentary;Action sports;Motorsports,106,4250,0.024941176470588234
genre:Documentary;Action sports;Variety,86,877,0.09806157354618016
genre:Documentary;Adventure,31209,1606716,0.01942409237226741
genre:Documentary;Adventure;Biography;Special,105,6883,0.015254976027894813
genre:Documentary;Adventure;Outdoors;Competition reality,2276,77592,0.029332920919682443
genre:Documentary;Adventure;Special;Action,30,4346,0.006902899217671422
genre:Documentary;Ancient history,13,7245,0.0017943409247757074
genre:Documentary;Animals,8594,578840,0.014846935249809965
genre:Documentary;Animals;Adventure;Special,203,7926,0.02561191016906384
genre:Documentary;Animals;Miniseries,9,3218,0.0027967681789931634
genre:Documentary;Animals;Pets,11,6794,0.0016190756549896968
genre:Documentary;Animals;Pets;Family,120,5564,0.021567217828900073
genre:Documentary;Animals;Special,614,81473,0.007536238999423122
genre:Documentary;Animals;Special;Science,75,4080,0.01838235294117647
genre:Documentary;Anthology,438,22256,0.019680086268871317
genre:Documentary;Anthology;History,18,3085,0.005834683954619124
genre:Documentary;Anthology;Paranormal,4584,1061196,0.004319654427645789
genre:Documentary;Art,360,21634,0.016640473329019138
genre:Documentary;Auto,471,33231,0.014173512683939694
genre:Documentary;Auto racing;Competition reality,17626,819662,0.021503985789264355
genre:Documentary;Aviation,17880,2208749,0.00809508006568424
genre:Documentary;Aviation;Crime drama;History,690,33106,0.02084214341811152
genre:Documentary;Aviation;History,151,3892,0.03879753340184995
genre:Documentary;Aviation;Special;History;War,2,279,0.007168458781362007
genre:Documentary;Basketball,1759,82229,0.021391479891522455
genre:Documentary;Biography,146,9920,0.01471774193548387
genre:Documentary;Biography;History,768,31525,0.024361617763679618
genre:Documentary;Biography;History;Miniseries;American history,726,51938,0.013978204782625438
genre:Documentary;Biography;History;Western;American history,153,15248,0.010034102833158446
genre:Documentary;Biography;History;World history,2627,161331,0.01628329335341627
genre:Documentary;Biography;Miniseries,858,53096,0.016159409371704084
genre:Documentary;Biography;Music,833,55618,0.01497716566579165
genre:Documentary;Biography;Music;Country,722525,31948481,0.022615316202357162
genre:Documentary;Biography;Music;Hip-Hop & rap,548,51204,0.010702288883680963
genre:Documentary;Biography;Pro wrestling,8602,265563,0.03239156057131453
genre:Documentary;Biography;Special,358,16860,0.021233689205219456
genre:Documentary;Biography;Special;History;Politics;American history,2,2529,0.0007908264136022143
genre:Documentary;Biography;Special;History;War,12,6700,0.001791044776119403
genre:Documentary;Biography;Special;History;Western;American history,296,25855,0.011448462579771805
genre:Documentary;Biography;Special;Music,354,25150,0.014075546719681909
genre:Documentary;Biography;Special;Music;Heavy metal,20,3546,0.0056401579244218835
genre:Documentary;Biography;Special;Music;Pop;Country,141,6748,0.020895080023710728
genre:Documentary;Biography;Special;Music;Pop;Country;Bluegrass,61178,3262896,0.01874960158092688
genre:Documentary;Biography;Special;Standup,142,2795,0.05080500894454383
